1.7   , 1.7477, 1.7813, 1.8032, 1.8156, 1.8203, 1.819 , 1.8132, 1.8039, 1.7922, 1.7786, 1.7635, 1.7472, 1.7295, 1.7102, 1.6885, 1.6637, 1.6346, 1.6   
1.855 , 1.8934, 1.9219, 1.9422, 1.9554, 1.9628, 1.9654, 1.964 , 1.9594, 1.9522, 1.9428, 1.9315, 1.9185, 1.9037, 1.8871, 1.8682, 1.8467, 1.822 , 1.7934
2.0079, 2.0408, 2.0668, 2.0868, 2.1015, 2.1115, 2.1175, 2.1199, 2.1192, 2.1158, 2.11  , 2.1019, 2.0919, 2.0799, 2.066 , 2.0502, 2.0323, 2.0122, 1.9896
2.1603, 2.1904, 2.2156, 2.2363, 2.2528, 2.2654, 2.2744, 2.28  , 2.2826, 2.2824, 2.2796, 2.2745, 2.2672, 2.2579, 2.2468, 2.2341, 2.2199, 2.2043, 2.1874
2.3133, 2.3425, 2.368 , 2.39  , 2.4084, 2.4235, 2.4352, 2.4436, 2.4491, 2.4517, 2.4516, 2.449 , 2.4442, 2.4375, 2.4292, 2.4195, 2.4088, 2.3974, 2.3858
2.4677, 2.4971, 2.5236, 2.5472, 2.5677, 2.585 , 2.5992, 2.6102, 2.6182, 2.6233, 2.6256, 2.6255, 2.6231, 2.6188, 2.6129, 2.606 , 2.5985, 2.5909, 2.5838
2.6242, 2.6542, 2.682 , 2.7073, 2.7299, 2.7495, 2.766 , 2.7794, 2.7898, 2.7972, 2.8018, 2.8039, 2.8036, 2.8015, 2.7979, 2.7935, 2.7886, 2.7841, 2.7806
2.7828, 2.8137, 2.843 , 2.8701, 2.8947, 2.9165, 2.9354, 2.9512, 2.9639, 2.9735, 2.9802, 2.9843, 2.986 , 2.9858, 2.9841, 2.9816, 2.9788, 2.9766, 2.9757
2.9436, 2.9754, 3.0061, 3.0351, 3.0619, 3.0861, 3.1073, 3.1255, 3.1405, 3.1523, 3.1611, 3.167 , 3.1703, 3.1716, 3.1714, 3.1701, 3.1687, 3.1679, 3.1687
3.1059, 3.1387, 3.171 , 3.2021, 3.2313, 3.2581, 3.282 , 3.3027, 3.32  , 3.334 , 3.3446, 3.3521, 3.3568, 3.3592, 3.3597, 3.3591, 3.3582, 3.3579, 3.3593
3.269 , 3.3031, 3.3375, 3.3711, 3.4032, 3.4329, 3.4596, 3.4831, 3.5029, 3.519 , 3.5314, 3.5402, 3.5458, 3.5486, 3.5492, 3.5484, 3.5471, 3.5464, 3.5474
3.4318, 3.468 , 3.5052, 3.5421, 3.5776, 3.6108, 3.6409, 3.6674, 3.6898, 3.708 , 3.7219, 3.7316, 3.7375, 3.74  , 3.7399, 3.738 , 3.7354, 3.7333, 3.733 
3.5929, 3.6325, 3.6737, 3.7151, 3.7551, 3.7926, 3.8266, 3.8565, 3.8816, 3.9017, 3.9167, 3.9268, 3.9323, 3.9338, 3.932 , 3.928 , 3.9231, 3.9186, 3.9163
3.7504, 3.7956, 3.8429, 3.8903, 3.9361, 3.979 , 4.0177, 4.0513, 4.0792, 4.1011, 4.1168, 4.1265, 4.1308, 4.1301, 4.1256, 4.1185, 4.1103, 4.1027, 4.0977
3.9023, 3.9563, 4.0123, 4.0681, 4.1215, 4.171 , 4.2152, 4.2531, 4.2838, 4.3071, 4.3229, 4.3315, 4.3333, 4.3294, 4.321 , 4.3096, 4.2971, 4.2856, 4.2778
4.0462, 4.1133, 4.1818, 4.2488, 4.3122, 4.37  , 4.4207, 4.4632, 4.4968, 4.5211, 4.5361, 4.5424, 4.5407, 4.5321, 4.5184, 4.5015, 4.4838, 4.4679, 4.4571
4.1792, 4.2653, 4.3509, 4.433 , 4.5091, 4.5772, 4.6356, 4.6833, 4.7196, 4.7442, 4.7575, 4.7602, 4.7534, 4.7387, 4.7182, 4.6946, 4.6707, 4.65  , 4.6366
4.2983, 4.4108, 4.5195, 4.6213, 4.7136, 4.7942, 4.8618, 4.9151, 4.9539, 4.9781, 4.9884, 4.9858, 4.9722, 4.9495, 4.9207, 4.889 , 4.8582, 4.8326, 4.8171
4.4   , 4.548 , 4.6872, 4.8144, 4.9269, 5.023 , 5.1011, 5.1607, 5.2016, 5.2243, 5.23  , 5.2204, 5.1978, 5.1653, 5.1264, 5.0853, 5.0468, 5.0163, 5.    
