0.6   , 0.7396, 0.8813, 1.0247, 1.1694, 1.315 , 1.4612, 1.6077, 1.7542, 1.9006, 2.0468, 2.1925, 2.3377, 2.4825, 2.6267, 2.7705, 2.9138, 3.057 , 3.2   
0.652 , 0.7828, 0.9178, 1.0561, 1.1969, 1.3396, 1.4837, 1.6285, 1.7739, 1.9194, 2.0648, 2.2101, 2.3553, 2.5005, 2.6458, 2.7915, 2.9379, 3.0857, 3.2352
0.6869, 0.8144, 0.9466, 1.0825, 1.2214, 1.3624, 1.5051, 1.6488, 1.7932, 1.9379, 2.0828, 2.2276, 2.3724, 2.5172, 2.6623, 2.8078, 2.9543, 3.1021, 3.2518
0.7102, 0.838 , 0.9699, 1.1053, 1.2434, 1.3836, 1.5254, 1.6684, 1.8122, 1.9563, 2.1007, 2.2451, 2.3894, 2.5336, 2.6777, 2.8218, 2.9662, 3.1111, 3.2569
0.7267, 0.8565, 0.9895, 1.1252, 1.2632, 1.4032, 1.5446, 1.6872, 1.8306, 1.9746, 2.1187, 2.2629, 2.4068, 2.5503, 2.6932, 2.8354, 2.9768, 3.1173, 3.2568
0.74  , 0.8722, 1.0065, 1.1429, 1.2812, 1.4211, 1.5625, 1.705 , 1.8485, 1.9925, 2.1369, 2.2812, 2.425 , 2.5681, 2.71  , 2.8503, 2.9885, 3.1242, 3.2569
0.7528, 0.8867, 1.022 , 1.1589, 1.2973, 1.4374, 1.5789, 1.7217, 1.8656, 2.0102, 2.1552, 2.3001, 2.4444, 2.5875, 2.7289, 2.8678, 3.0035, 3.135 , 3.2616
0.7669, 0.9009, 1.0362, 1.173 , 1.3115, 1.4518, 1.5937, 1.7371, 1.8818, 2.0274, 2.1736, 2.3196, 2.465 , 2.609 , 2.7506, 2.8891, 3.0233, 3.1521, 3.2743
0.783 , 0.9152, 1.0493, 1.1853, 1.3235, 1.4639, 1.6064, 1.7508, 1.8969, 2.0441, 2.192 , 2.3399, 2.4871, 2.6326, 2.7756, 2.9148, 3.0492, 3.1773, 3.2977
0.8007, 0.9292, 1.0607, 1.1952, 1.3329, 1.4735, 1.6169, 1.7627, 1.9106, 2.0601, 2.2104, 2.3608, 2.5106, 2.6587, 2.8041, 2.9456, 3.0819, 3.2116, 3.3333
0.8188, 0.9418, 1.0696, 1.2021, 1.339 , 1.48  , 1.6247, 1.7725, 1.9229, 2.0751, 2.2286, 2.3824, 2.5356, 2.6872, 2.8362, 2.9815, 3.1217, 3.2556, 3.3818
0.8351, 0.9512, 1.0747, 1.2049, 1.3412, 1.4829, 1.6293, 1.7797, 1.9332, 2.0891, 2.2464, 2.4043, 2.5619, 2.7181, 2.872 , 3.0225, 3.1685, 3.309 , 3.4428
0.8463, 0.9551, 1.0742, 1.2024, 1.3385, 1.4816, 1.6304, 1.7841, 1.9415, 2.1017, 2.2637, 2.4265, 2.5893, 2.751 , 2.9109, 3.0681, 3.2218, 3.3711, 3.5152
0.8481, 0.9505, 1.066 , 1.193 , 1.33  , 1.4752, 1.6274, 1.7852, 1.9474, 2.1127, 2.2801, 2.4487, 2.6175, 2.7857, 2.9527, 3.1178, 3.2804, 3.4402, 3.5967
0.8354, 0.9335, 1.0475, 1.1751, 1.3142, 1.463 , 1.6197, 1.7827, 1.9505, 2.1218, 2.2955, 2.4706, 2.6462, 2.8217, 2.9966, 3.1704, 3.343 , 3.5142, 3.6843
0.802 , 0.8999, 1.0156, 1.1464, 1.29  , 1.4441, 1.6067, 1.776 , 1.9505, 2.1286, 2.3094, 2.4917, 2.6749, 2.8583, 3.0416, 3.2247, 3.4075, 3.5905, 3.7739
0.7406, 0.8446, 0.9669, 1.1048, 1.2557, 1.4174, 1.5876, 1.7647, 1.9469, 2.1329, 2.3215, 2.5118, 2.7031, 2.8949, 3.0869, 3.2791, 3.4718, 3.6654, 3.8605
0.643 , 0.7618, 0.8975, 1.0476, 1.2097, 1.3818, 1.5619, 1.7483, 1.9395, 2.1343, 2.3315, 2.5304, 2.7302, 2.9304, 3.131 , 3.3317, 3.5329, 3.7348, 3.9381
0.5   , 0.6451, 0.803 , 0.9719, 1.1501, 1.3361, 1.5285, 1.7261, 1.9277, 2.1323, 2.3389, 2.5468, 2.7554, 2.9641, 3.1725, 3.3804, 3.5876, 3.7941, 4.    
